sku,price,ProductTitle,Designer,category,template,ReferenceCode,in_stock
138942,3024.00," Chanel 2.55 Reissue Purple Quilted Leather Shoulder Bag ",Chanel,Handbags,Handbags,138920-138942-PNAS-SH,1
139012,780.00,"Chanel Paris-Biarritz XL Bronze Quilted Leather Tote",Chanel,Handbags,Handbags,138964-139012-ENC-SH,1
139021,1740.00,"Hermes Picotin TPM Brown Clemence Leather Satchel",Hermes,Handbags,Handbags,138964-139021-TBT-SH,1
139025,1260.00,"Hermes Jige GM Black Leather Clutch",Hermes,Handbags,Handbags,138964-139025-MIC-SH,1
139153,9600.00," Hermes Vintage Birkin 35 Brown Leather Satchel ",Hermes,Handbags,Handbags,139060-139153-ESBS-SH,1
139502,180.00," Versace Purple Patent Leather Shoulder Bag ",Versace,Handbags,Handbags,139321-139502-TM-SH,1
139651,960.00," Gucci 323652 Lady Buckle Brown Leather Tote ",Gucci,Handbags,Handbags,139422-139651-ESB-SH,1
139734,1440.00," Gucci 443505 Medium Marmont Red Chevron Leather Tote ",Gucci,Handbags,Handbags,NULL,1
139826,240.00," Christian Dior White Cannage Leather Hobo ","Christian Dior",Handbags,Handbags,139545-139826-PSB-SH,1
140444,168.00," Marc Jacobs Blake White Leather Satchel ","Marc Jacobs",Handbags,Handbags,139986-140444-TS-SH,1
140445,120.00," Marc Jacobs Mevie Grey Leather Hobo ","Marc Jacobs",Handbags,Handbags,139987-140445-MS-SH,1
140600,2400.00," Goyard St Louis GM White Monogram Coated Canvas Tote ",Goyard,Handbags,Handbags,140099-140600-PBIS-SH,1
140640,2400.00," Goyard St Louis GM White Monogram Coated Canvas Tote ",Goyard,Handbags,Handbags,140132-140640-PNSB-SH,1
140669,600.00,"Proenza Schouler Black Leather & Suede Shoulder Bag","Proenza Schouler",Handbags,Handbags,140149-140669-NMS-KA,1
141038,2400.00," Goyard St Louis GM Blue Monogram Canvas Tote ",Goyard,Handbags,Handbags,140403-141038-PSIS-SH,1
141043,2400.00," Goyard St Louis GM Black Monogram Canvas Tote ",Goyard,Handbags,Handbags,140403-141043-PBSB-SH,1
141072,103.03," Celine Brown Monogram Coated Canvas Satchel ",Celine,Handbags,Handbags,NULL,1
